k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,3,6,51.14637,-1.11735,789,0,1089.4332082033764,555.4461543911191,199.71639746490945,299.18019340648794,57.99435464517596,344.5699571535764,85.66371640283054,1062.6570635762234,1,0,1,0,0,0,1,0,1,1,1,1,0,1
t,3,7,51.14267,-1.10247,780,0,117.7504054967389,208.2718177560894,117.7504054967389,208.2718177560894,16.39644121395201,78.29359586707668,16.396441213952013,277.6189533288519,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c,3,7,51.05143,-1.00662,800,0,494.0154593532378,1507.6177797822909,274.9571102909309,942.0387330289103,33.437582470319924,1068.0299888606453,171.948516046209,2402.7040982609387,1,0,1,0,1,0,0,0,1,1,0,0,0,1
c,3,7,51.04922,-1.00333,740,0,520.1775607968132,1360.2929115913291,31.04839367419976,1033.1977507867653,82.05381712547286,855.3387448450176,457.77248072984696,2067.7994874122737,1,0,1,0,0,0,0,1,1,0,0,0,1,1
c,3,7,50.97105,-0.93047,811,0,215.01605684132375,1435.04601495893,173.37871762141793,1435.0392400918925,16.346118812137103,414.8473134165445,25.951659578839415,1518.3827826666773,1,0,1,1,1,0,0,0,1,1,1,1,0,1
t,3,8,51.10472,-1.05695,827,0,125.20674121591382,270.33656553031005,52.86833395398495,269.92539610872086,128.50714537380938,56.02507472214094,273.174045456206,1046.0484590271965,0,0,0,1,1,1,1,1,1,1,1,1,1,1
c,3,8,51.05328,-1.01057,877,0,713.4601465434897,1757.4023261095017,294.68210192320475,922.3221587322104,43.589259359058914,1369.6507390141846,47.73799872701054,2735.664447030601,1,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,8,51.05577,-1.0136,897,0,871.828890551669,1468.6447974450261,382.4344589814889,806.8185288259534,82.8184427339646,1648.3129681496155,72.09641445215453,3084.5144900648247,0,0,1,0,0,0,0,0,1,1,0,0,0,1
c,3,8,51.05852,-1.01643,932,0,687.1566925597756,1124.2192234259708,667.8290914846967,678.905989086592,22.133927971811758,1859.9501750706497,274.76268487308505,3421.3341064590663,1,0,1,0,0,0,0,0,1,1,0,0,0,1
t,3,9,51.03258,-0.9936,352,1,345.38563330938,2042.9967873595974,55.0449820604018,2012.744775899841,62.57113261896309,383.7898273286706,399.1488605754712,569.1449540916328,1,0,1,0,1,0,0,1,1,0,1,1,1,1
c,3,9,50.89232,-0.54892,331,1,373.13486912678354,373.13486912678354,178.11634878895796,322.5453275085098,510.6409727851499,189.86358140752736,57.02956203028838,334.9491671446255,0,0,0,0,1,1,0,0,0,1,1,1,0,1
c,3,9,50.89132,-0.55238,404,1,346.8386599842587,309.4180301608521,137.67077017349322,296.27913434003773,368.1706254156713,144.21662964427173,67.94895921914838,330.85027436107526,0,0,0,0,1,1,1,1,0,1,1,1,0,1
